,gene_P,gene_R,corr,cor
2239,GLIPR1,MAD2L1BP,0.651792326,>0.6
3409,MYO15A,GNAI1,0.651651871,>0.6
5058,SPAG17,PKNOX2,0.651620382,>0.6
4364,RIBC1,N4BP2L1,0.65156125,>0.6
2765,KIF26A,C6orf136,0.651453733,>0.6
1116,CHRDL1,ACAP2,0.651237534,>0.6
4721,SERPINA9,OSMR,0.651224939,>0.6
4614,SCARA3,PNN,0.651062789,>0.6
2688,KCNAB3,CFLAR,0.651022052,>0.6
2008,FAM92A1,CCDC149,0.650994216,>0.6
2328,GREB1L,APOA1,0.650869868,>0.6
2514,HS6ST3,NR2C1,0.650836165,>0.6
5877,ZDHHC21,SYNPO2L,0.650824299,>0.6
4864,SLC25A46,CCDC101,0.650765209,>0.6
3613,NT5C1B,HECTD3,0.650739535,>0.6
2175,FUT10,STOX2,0.65073376,>0.6
2563,IGSF9,C15orf39,0.650264616,>0.6
1573,DLGAP3,ATP5I,0.649894634,>0.6
1516,DDR2,FAM86B2,0.649808259,>0.6
3993,PLCE1,TPH1,0.649751926,>0.6
1771,ENTHD1,E2F7,0.649685948,>0.6
562,BCL2L11,MYO15A,0.649622222,>0.6
964,CCDC73,PGBD5,0.649501043,>0.6
2535,ICOSLG,ENPP6,0.649432647,>0.6
4875,SLC25A46,KRR1,0.649237465,>0.6
2379,GXYLT2,WDR72,0.649140024,>0.6
4617,SCARA3,TOP3B,0.649038116,>0.6
4360,RIBC1,C6orf163,0.648987124,>0.6
6053,ZNF57,TMUB2,0.648883616,>0.6
5362,TLR6,SPCS1,0.648713321,>0.6
2964,LINGO4,ZFP91,0.648684517,>0.6
2030,FANCB,SLC38A10,0.648355418,>0.6
2921,LINGO4,CAT,0.648354483,>0.6
4616,SCARA3,STOX2,0.647889102,>0.6
5326,THAP2,ALB,0.647880456,>0.6
6145,ZYG11A,FAM186A,0.647869201,>0.6
3432,MYT1,SPINK5,0.647754648,>0.6
5465,TMOD4,MYO3A,0.647742229,>0.6
4873,SLC25A46,GRAMD1C,0.647572345,>0.6
1141,CHRDL1,DCHS2,0.647492709,>0.6
1784,ENTHD1,WDR53,0.647490102,>0.6
6150,ZYG11A,RNF34,0.647456337,>0.6
5869,ZDHHC21,CDK5RAP3,0.647291963,>0.6
3344,MTMR8,APOC2,0.647255364,>0.6
715,C12orf65,FAM53B,0.646929133,>0.6
1277,CLN6,MYO1A,0.646901383,>0.6
4839,SLC25A14,PDE6D,0.64688801,>0.6
3202,MIER2,TMEM177,0.646886481,>0.6
2347,GRIN1,RPL19,0.646824152,>0.6
3012,LRRC16B,MYL12A,0.646808466,>0.6
2308,GPRASP2,ROGDI,0.646712736,>0.6
5781,WRB,MED16,0.646601363,>0.6
5011,SNAPC5,SMPD4,0.646109225,>0.6
1544,DGCR8,CDCA5,0.646011763,>0.6
3418,MYO3A,PKHD1L1,0.645922409,>0.6
4257,RADIL,NDUFA7,0.645626708,>0.6
813,C7orf63,SEMA6C,0.645580478,>0.6
3798,PCDHB15,SLFN12L,0.645549406,>0.6
1190,CHRDL1,SCN5A,0.645397297,>0.6
3958,PIK3C2G,PDZD11,0.645201461,>0.6
1059,CDNF,IGFBP6,0.645172197,>0.6
361,ARSE,FUCA2,0.644466578,>0.6
5132,SRRM5,NAA10,0.644396727,>0.6
5416,TMEM66,ARHGAP33,0.64438193,>0.6
542,BCL2L11,EFCAB7,0.644356053,>0.6
4899,SLC25A46,SPEN,0.644185707,>0.6
3025,LRRC36,YDJC,0.644071008,>0.6
5870,ZDHHC21,EZH1,0.644046422,>0.6
3957,PIK3C2G,MED31,0.643746661,>0.6
4203,PWWP2A,FAM193B,0.643585117,>0.6
1687,EDEM1,CIITA,0.643354099,>0.6
2064,FBXL2,RPL19,0.6433414,>0.6
359,ARSE,ELK1,0.643241377,>0.6
733,C16orf87,ZNHIT2,0.643221152,>0.6
616,BEX1,RAB8A,0.642926547,>0.6
2173,FUT10,PLXNA2,0.642753784,>0.6
3383,MYC,NDUFB8,0.642600619,>0.6
4604,SCAND3,FTL,0.642423553,>0.6
4362,RIBC1,CLK1,0.642184941,>0.6
4258,RADIL,RAB11B,0.642178328,>0.6
1682,EDEM1,ATP1A3,0.642140769,>0.6
3372,MXI1,ZNF777,0.642052483,>0.6
513,BCL11B,RPL35A,0.6419956,>0.6
2006,FAM92A1,ANO10,0.641939985,>0.6
1196,CHRDL1,TMEM41A,0.641926753,>0.6
4622,SCG5,ATP5I,0.641768588,>0.6
1144,CHRDL1,DNAH17,0.641755552,>0.6
1170,CHRDL1,MED22,0.641693898,>0.6
3055,LY86,GPSM2,0.641623803,>0.6
4372,RIBC1,ZNF224,0.641621134,>0.6
4739,SETDB2,MRPL34,0.641576967,>0.6
3352,MTMR8,HECTD3,0.641575671,>0.6
3018,LRRC36,HIST1H2BK,0.641225162,>0.6
4613,SCARA3,PELP1,0.641140294,>0.6
5442,TMEM66,NDUFB7,0.64082336,>0.6
2538,ICOSLG,ZYG11A,0.640695546,>0.6
592,BCL2L11,TNRC6A,0.640660595,>0.6
1275,CLN6,JAK3,0.64053973,>0.6
567,BCL2L11,PCMTD2,0.640519146,>0.6
4373,RIBC1,ZNF594,0.640317976,>0.6
1681,EDEM1,APOC1,0.640193969,>0.6
1454,CUBN,RHOQ,0.640105144,>0.6
3645,NTRK3,WDR45,0.639979469,>0.6
2960,LINGO4,VKORC1L1,0.639938266,>0.6
863,CACNA1I,ZNF131,0.639920711,>0.6
2151,FOXP3,TRAPPC2L,0.639904493,>0.6
3634,NTRK1,ZNF668,0.639632985,>0.6
478,B9D1,MAML1,0.63961662,>0.6
3033,LRRC70,SGK1,0.639615521,>0.6
5290,TET1,C6orf136,0.63955078,>0.6
2839,KLHDC10,ITPKA,0.639516533,>0.6
2974,LNX2,MMP8,0.639304205,>0.6
1405,CRTAP,ARSI,0.639182769,>0.6
1364,COX8A,RNF34,0.639054423,>0.6
1774,ENTHD1,GPATCH8,0.639044051,>0.6
2208,GBP3,IFNG,0.638822457,>0.6
1365,COX8A,SDHB,0.63872071,>0.6
1748,EMB,MIER2,0.638654802,>0.6
4892,SLC25A46,RIC8B,0.638615123,>0.6
5667,ULK1,BSG,0.638603057,>0.6
5855,ZCCHC9,MED6,0.638549477,>0.6
5595,TTC31,FAM186A,0.638518588,>0.6
2408,HAPLN1,BPI,0.638424849,>0.6
1093,CEP70,PSMA5,0.638409996,>0.6
1630,DSCAML1,NAPB,0.638402968,>0.6
2036,FANCB,USHBP1,0.638395739,>0.6
1388,CRIM1,FKBP1B,0.638373246,>0.6
1056,CDNF,FAM133A,0.638239415,>0.6
1276,CLN6,LRMP,0.638187032,>0.6
342,ARMC2,TM9SF2,0.638151023,>0.6
3917,PGBD5,ZNF57,0.638049233,>0.6
1689,EDEM1,EDEM2,0.637968811,>0.6
5878,ZDHHC21,TMUB2,0.637910242,>0.6
4888,SLC25A46,PRX,0.637642102,>0.6
3024,LRRC36,SPIRE2,0.637563648,>0.6
4256,RADIL,MRPS12,0.637474387,>0.6
5421,TMEM66,DHODH,0.637416297,>0.6
5130,SRRM5,HECTD3,0.637320079,>0.6
535,BCL2L11,CPT1B,0.637138966,>0.6
1206,CHRDL1,ZNF507,0.637135736,>0.6
5871,ZDHHC21,MEAF6,0.637065613,>0.6
1832,ERN1,C6orf136,0.637005182,>0.6
1835,ERN1,CISD2,0.636936389,>0.6
457,AXL,ARPC4,0.636832317,>0.6
193,AKAP6,RNF10,0.636802884,>0.6
3794,PCDHB15,ITK,0.636762197,>0.6
1241,CIITA,TRAF2,0.636434077,>0.6
4714,SERPINA9,ATP10A,0.636364838,>0.6
1522,DDR2,SRGAP3,0.636084261,>0.6
717,C12orf65,HKDC1,0.635982182,>0.6
128,ADCY4,KIAA1984,0.635939651,>0.6
5884,ZDHHC8,RPF1,0.635909565,>0.6
3774,PBX4,UNC80,0.635588825,>0.6
3596,NRXN1,MYO3A,0.635536579,>0.6
5788,WSB2,ABCD2,0.635515222,>0.6
1191,CHRDL1,SENP1,0.635400227,>0.6
4884,SLC25A46,PCMTD2,0.635388423,>0.6
2594,IKZF5,XAB2,0.635359625,>0.6
4924,SLC27A6,MST1,0.635305549,>0.6
1188,CHRDL1,RORA,0.635128044,>0.6
4784,SIDT1,PCDHA11,0.635072976,>0.6
4254,RADIL,MRPL34,0.634951006,>0.6
1657,DYRK4,YIPF2,0.634940047,>0.6
939,CCDC152,TRPC4,0.634858086,>0.6
856,CACNA1I,EXOC3,0.634768693,>0.6
167,AGBL3,ENO2,0.63456858,>0.6
5298,TET1,IMP4,0.634567063,>0.6
1744,EMB,GPS1,0.634545455,>0.6
5854,ZCCHC9,LIN52,0.634520989,>0.6
3984,PLA2G4C,GPS1,0.634295354,>0.6
1279,CLN6,RNF166,0.634268436,>0.6
3616,NT5C1B,MCOLN1,0.634239915,>0.6
4623,SCG5,CCDC22,0.634109107,>0.6
2341,GRIN1,ARL4A,0.634067828,>0.6
4836,SLC25A14,LRGUK,0.633991836,>0.6
565,BCL2L11,PABPC1L,0.633940919,>0.6
126,ADCY4,HTRA2,0.633939693,>0.6
747,C19orf55,EPHA8,0.63392089,>0.6
5883,ZDHHC8,C12orf65,0.633773854,>0.6
2201,GATA2,RMND5B,0.633545066,>0.6
827,C9orf117,LPCAT4,0.63353924,>0.6
537,BCL2L11,DBF4B,0.633517163,>0.6
2787,KL,EFCAB7,0.633516195,>0.6
941,CCDC152,ZNF98,0.633509387,>0.6
363,ARSE,GHITM,0.633391062,>0.6
5429,TMEM66,GEMIN7,0.633367228,>0.6
4556,RRAD,DENND4B,0.63332101,>0.6
2132,FOXA3,RIBC1,0.633311554,>0.6
4607,SCAND3,MRPL34,0.633301769,>0.6
1884,ESPL1,SNX32,0.633287795,>0.6
